rank,company,income,profit,nation
393,法国达飞海运集团（CMA CGM),31445.1,1755.3,法国
394,巴拉特石油公司（BHARAT PETROLEUM),31315.1,2178,印度
395,SAP公司（SAP),31150.3,5862.5,德国
396,深圳市投资控股有限公司（SHENZHEN INVESTMENT HOLDINGS),31143.6,1661,中国
397,Coop集团（COOP GROUP),31057.5,574.2,瑞士
398,现代摩比斯公司（HYUNDAI MOBIS),31047.2,1296.2,韩国
399,英美资源集团（ANGLO AMERICAN),30902,2089,英国
400,鞍钢集团有限公司（ANSTEEL GROUP),30885.6,258.5,中国
401,三菱化学控股（MITSUBISHI CHEMICAL HOLDINGS),30729.1,-71.3,日本
402,西门子能源（SIEMENS ENERGY),30722.9,-1797,德国
403,山西焦煤集团有限责任公司（SHANXI COKING COAL GROUP),30453.7,159.9,中国
404,日本钢铁工程控股公司（JFE HOLDINGS),30443.7,-206.3,日本
405,海尔智家股份有限公司（HAIER SMART HOME),30395,1286.5,中国
406,日本瑞穗金融集团（MIZUHO FINANCIAL GROUP),30357.1,4443.2,日本
407,铜陵有色金属集团控股有限公司（TONGLING NONFERROUS METALS GROUP),30301.1,-25.8,中国
408,Medipal控股公司（MEDIPAL HOLDINGS),30291.3,225.7,日本
409,武田药品公司（TAKEDA PHARMACEUTICAL),30165.7,3546.9,日本
410,瑞士ABB集团（ABB),30142,5146,瑞士
411,首钢集团有限公司（SHOUGANG GROUP),30053.7,42.5,中国
412,铃木汽车（SUZUKI MOTOR),29980.8,1381.2,日本
413,法国威立雅环境集团（VEOLIA ENVIRONNEMENT),29637,101.2,法国
414,佳能（CANON),29598.9,780.4,日本
415,新华人寿保险股份有限公司（NEW CHINA LIFE INSURANCE),29544.6,2071.6,中国
416,三星人寿保险（SAMSUNG LIFE INSURANCE),29273.8,1073,韩国
417,关西电力（KANSAI ELECTRIC POWER),29171.3,1028,日本
418,Enbridge公司（ENBRIDGE),29146.5,2507.7,加拿大
419,美敦力公司（MEDTRONIC),28913,4789,爱尔兰
420,东芝（TOSHIBA),28812.6,1075.2,日本
421,纬创集团（WISTRON),28694.5,294.8,中国
422,菲利普－莫里斯国际公司（PHILIP MORRIS INTERNATIONAL),28694,8056,美国
423,艾睿电子（ARROW ELECTRONICS),28673.4,584.4,美国
424,施耐德电气（SCHNEIDER ELECTRIC),28667.4,2422.5,法国
425,潍柴动力股份有限公司（WEICHAI POWER),28621.8,1334.4,中国
426,巴西布拉德斯科银行（BANCO BRADESCO),28539.3,3072.9,巴西
427,菲尼克斯集团控股公司（PHOENIX GROUP HOLDINGS),28493.2,1023.4,英国
428,海亮集团有限公司（HAILIANG GROUP),28466.7,117.3,中国
429,CHS公司（CHS),28406.4,422.4,美国
430,中国通用技术(集团)控股有限责任公司（CHINA GENERAL TECHNOLOGY),28379.3,558.3,中国
431,北京建龙重工集团有限公司（BEIJING JIANLONG HEAVY INDUSTRY GROUP),28361.5,494,中国
432,日本电气公司（NEC),28243.3,1411.3,日本
433,浙江省交通投资集团有限公司（ZHEJIANG COMMUNICATIONS INVESTMENT GROUP),28168.2,706.7,中国
434,普利司通（BRIDGESTONE),28046.8,-218.2,日本
435,中国大唐集团有限公司（CHINA DATANG),27928.3,317.2,中国
436,英国电信集团（BT GROUP),27863.3,1922.8,英国
437,上海医药集团股份有限公司（SHANGHAI PHARMACEUTICALS HOLDING),27812.9,651.6,中国
438,利安德巴塞尔工业公司（LYONDELLBASELL INDUSTRIES),27753,1420,荷兰
439,广西投资集团有限公司（GUANGXI INVESTMENT GROUP),27707.9,41.3,中国
440,日本中部电力（CHUBU ELECTRIC POWER),27690.4,1388.6,日本
441,CRH公司（CRH),27587,1122,爱尔兰
442,住友电工（SUMITOMO ELECTRIC INDUSTRIES),27531.7,531.5,日本
443,Financièredel'Odet公司（FINANCIÈRE DE L'ODET),27470.1,244,法国
444,新疆广汇实业投资（集团）有限责任公司（XINJIANG GUANGHUI INDUSTRY INVESTMENT),27448.3,59.2,中国
445,X5零售集团（X5 RETAIL GROUP),27359.1,392,荷兰
446,捷普公司（JABIL),27266.4,53.9,美国
447,林德集团（LINDE),27250,2501,英国
448,EnterpriseProductsPartners公司（ENTERPRISE PRODUCTS PARTNERS),27199.7,3775.6,美国
449,马自达汽车株式会社（MAZDA MOTOR),27187.2,-298.6,日本
450,CJ集团（CJ CORP.),27124.7,73.5,韩国
451,中国中煤能源集团有限公司（CHINA NATIONAL COAL GROUP),27104.9,484.5,中国
452,SK海力士公司（SK HYNIX),27041.1,4030.8,韩国
453,慧与公司（HEWLETT PACKARD ENTERPRISE),26982,-322,美国
454,达能（DANONE),26913.8,2228.8,法国
455,Achmea公司（ACHMEA),26843.1,731.5,荷兰
456,龙湖集团控股有限公司（LONGFOR GROUP HOLDINGS),26745.9,2898.8,中国
457,UnitedNaturalFoods公司（UNITED NATURAL FOODS),26742.8,-274.1,美国
458,英国森特理克集团（CENTRICA),26701.5,52.6,英国
459,斯巴鲁公司（SUBARU),26698,721.7,日本
460,广州市建筑集团有限公司（GUANGZHOU MUNICIPAL CONSTRUCTION GROUP),26682.4,126.8,中国
461,LG化学公司（LG CHEM),26644.8,434.5,韩国
462,阿斯利康（ASTRAZENECA),26617,3196,英国
463,亿滋国际（MONDELEZ INTERNATIONAL),26581,3555,美国
464,德国勃林格殷格翰公司（BOEHRINGER INGELHEIM),26496.8,3489,德国
465,维亚康姆CBS公司（VIACOMCBS),26186,2422,美国
466,卡夫亨氏公司（KRAFT HEINZ),26185,356,美国
467,KOC集团（KOÇ HOLDING),26179.2,1320.9,土耳其
468,广州医药集团有限公司（GUANGZHOU PHARMACEUTICAL HOLDINGS),26070.1,299,中国
469,新加坡奥兰国际有限公司（OLAM INTERNATIONAL),26067.8,178.1,新加坡
470,华润置地有限公司（CHINA RESOURCES LAND),26027.1,4352.2,中国
471,云南省投资控股集团有限公司（YUNNAN PROVINCIAL INVESTMENT HOLDING GROUP),25886.9,278.6,中国
472,蒙特利尔银行（BANK OF MONTREAL),25664.6,3788.4,加拿大
473,三星C&T公司（SAMSUNG C&T),25613.3,877.8,韩国
474,万洲国际有限公司（WH GROUP),25589,828,中国
475,DollarTree公司（DOLLAR TREE),25509.3,1341.9,美国
476,安进（AMGEN),25424,7264,美国
477,康帕斯集团（COMPASS GROUP),25413.4,169.5,英国
478,Coles集团（COLES GROUP),25324.5,655.5,澳大利亚
479,美国合众银行（U.S. BANCORP),25241,4959,美国
480,爱立信公司（ERICSSON),25236.9,1898.6,瑞典
481,华阳新材料科技集团有限公司（HUAYANG NEW MATERIAL TECHNOLOGY GROUP),25187.9,-172.7,中国
482,巴西银行（BANCO DO BRASIL),25149.6,2299.6,巴西
483,PerformanceFoodGroup公司（PERFORMANCE FOOD GROUP),25086.3,-114.1,美国
484,Netflix公司（NETFLIX),24996.1,2761.4,美国
485,诺基亚（NOKIA),24899.2,-2874.8,芬兰
486,紫金矿业集团股份有限公司（ZIJIN MINING GROUP),24855.2,943.3,中国
487,BAE系统公司（BAE SYSTEMS),24722.7,1666,英国
488,珠海格力电器股份有限公司（GREE ELECTRIC APPLIANCES),24709.7,3213.8,中国
489,吉利德科学公司（GILEAD SCIENCES),24689,123,美国
490,Synnex公司（SYNNEX),24675.6,529.2,美国
491,联合信贷集团（UNICREDIT GROUP),24664.5,-3173.4,意大利
492,霍尔希姆公司（HOLCIM),24653.8,1807.9,瑞士
493,曼福集团（MAPFRE GROUP),24641.5,599.9,西班牙
494,阿弗瑞萨控股公司（ALFRESA HOLDINGS),24556.3,231.1,日本
495,美国礼来公司（ELI LILLY),24539.8,6193.7,美国
496,TruistFinancial公司（TRUIST FINANCIAL),24427,4482,美国
497,中国再保险（集团）股份有限公司（CHINA REINSURANCE (GROUP)),24376,827.6,中国
498,澳洲联邦银行（COMMONWEALTH BANK OF AUSTRALIA),24362,6457.1,澳大利亚
499,伟创力公司（FLEX),24124,613,新加坡
500,来德爱（RITE AID),24043.4,-90.9,美国
